FullName,Party,Constituency,Term
Pottakis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,3
Printzos Konstantinos ,NEA DIMOKRATIA,Magnesia,3
Rallis Georgios ,NEA DIMOKRATIA,Athens A,3
Rallis Spyridon ,PA.SO.K. (Panhellenic Socialist Movement),Corfu,3
Reppas Dimitrios ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,3
Rizogiannis Nikolaos ,PA.SO.K. (Panhellenic Socialist Movement),Korinthia,3
Rodiou Georgios ,NEA DIMOKRATIA,Xanthi,3
Sachinis Dimitrios ,KOMMOUNISTIKO KOMMA ELLADAS,Thessaloniki A,3
Sakellariadou Ypsilanti - Aimilia ,KOMMOUNISTIKO KOMMA ELLADAS,Athens A,3
Salamalikis Panagiotis ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Samaras Antonios ,NEA DIMOKRATIA,Messinia,3
Sapountzis Dimitrios - Taxiarchis ,PA.SO.K. (Panhellenic Socialist Movement),Evia,3
Sapsalis Konstantinos ,NEA DIMOKRATIA,Athens A,3
Sarlis Pavlos ,NEA DIMOKRATIA,Piraeus A,3
Sechiotis Anastasios ,PA.SO.K. (Panhellenic Socialist Movement),Arcadia,3
Serafeimidis Stavros ,PA.SO.K. (Panhellenic Socialist Movement),Iraklio,3
Sergakis Ioannis ,NEA DIMOKRATIA,Lasithi,3
Serpanos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Aitoloαkarnania,3
Sfyriou Kosmas ,PA.SO.K. (Panhellenic Socialist Movement),Dodecanese Islands,3
Simaioforidis Konstantinos ,NEA DIMOKRATIA,Kastoria,3
Skoulakis Emmanouil ,PA.SO.K. (Panhellenic Socialist Movement),Chania,3
Skoularikis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Ileia,3
Sofoulis Themistoklis ,NEA DIMOKRATIA,Samos,3
Solomos Grigorios ,PA.SO.K. (Panhellenic Socialist Movement),Achaia,3
Souflias Georgios ,NEA DIMOKRATIA,Larissa,3
Sourlas Georgios Ioanni,NEA DIMOKRATIA,Magnesia,3
Spentzari Effrosyni ,NEA DIMOKRATIA,Ileia,3
Staikos Evangelos ,PA.SO.K. (Panhellenic Socialist Movement),Fthiotida,3
Stamatis Georgios ,NEA DIMOKRATIA,Aitoloαkarnania,3
Stamatopoulos Charalampos ,PA.SO.K. (Panhellenic Socialist Movement),Evros,3
Stathis Theodoros ,PA.SO.K. (Panhellenic Socialist Movement),Larissa,3
Stathopoulos Ioannis ,NEA DIMOKRATIA,Lakonia,3
Stefanidis Michail ,PA.SO.K. (Panhellenic Socialist Movement),Evia,3
Stefanidis Pavlos ,PA.SO.K. (Panhellenic Socialist Movement),Florina,3
Stefanopoulos Konstantinos ,NEA DIMOKRATIA,Achaia,3
Synodinou Anna ,NEA DIMOKRATIA,Athens A,3
Taliadouros Athanasios ,NEA DIMOKRATIA,Karditsa,3
Tataridis Stavros ,NEA DIMOKRATIA,Evros,3
Terzopoulos Georgios ,PA.SO.K. (Panhellenic Socialist Movement),Pieria,3
Theocharidis Dimosthenis ,NEA DIMOKRATIA,Florina,3
Theodorakis Michail (Mikis) ,KOMMOUNISTIKO KOMMA ELLADAS,Piraeus B,3
Theotokis Spyridon ,NEA DIMOKRATIA,State,3
Tritsis Antonios ,PA.SO.K. (Panhellenic Socialist Movement),Kefallonia,3
Tsaklidis Ioannis ,PA.SO.K. (Panhellenic Socialist Movement),Kavala,3
Tsaldaris Athanasios Konstantinou,NEA DIMOKRATIA,Athens B,3
Tsaparas Stefanos ,PA.SO.K. (Panhellenic Socialist Movement),Thessaloniki B,3
Tsigaridas Konstantinos ,PA.SO.K. (Panhellenic Socialist Movement),Evrytania,3
Tsiouplakis Konstantinos ,NEA DIMOKRATIA,Halkidiki,3
Tsiplakos Aristeidis ,NEA DIMOKRATIA,Viotia,3
