DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2009,445,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2010,610,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2011,595,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2012,490,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2013,365,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2014,270,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2015,320,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2016,475,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2017,590,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2018,740,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2019,755,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2020,650,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,FR,2021,880,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2012,70,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2013,55,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2014,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2015,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2016,170,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2017,40,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2018,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2019,35,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2020,115,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HR,2021,195,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2008,175,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2009,270,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2010,150,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2011,60,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2012,185,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2013,380,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2014,605,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2015,8805,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2016,1220,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2017,230,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2018,40,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2019,10,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2020,0,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,HU,2021,5,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2008,100,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2009,55,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2010,35,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2011,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2012,25,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2013,20,
ESTAT:TPS00194(1.0),05/12/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,IE,2014,30,
