"","...1","location_name","res_date","res_price","res_price_sqr","res_sqr","construction_year","levels","bedrooms","bathrooms","deleted","deleted_at","status","energyclass","auto_heating","solar","cooling","safe_door","gas","fireplace","furniture","student","parking"
"451",516,"Kallithea",2022-03-22,165000,2171,76,1983,"6th",2,1,1,2022-03-23,"Good","E",1,0,1,0,0,0,0,0,"Κλειστό parking"
"452",517,"Kallithea",2022-02-26,59000,1341,44,1978,"Other",1,1,1,2022-03-17,"Renovated","E",1,0,0,1,0,0,0,0,NA
"453",518,"Kallithea",2022-04-06,240000,2474,97,1975,"1st",2,1,1,2022-04-14,"Renovated","C",1,1,1,1,0,0,0,0,NA
"454",519,"Kallithea",2022-04-13,280000,3256,86,2003,"3rd",2,1,1,2022-06-10,"Excellent","C",1,0,1,1,0,1,1,0,NA
"455",520,"Kallithea",2022-04-28,42000,1313,32,1965,"1st",1,NA,1,2022-04-29,"Renovated","Pending",0,0,0,1,0,0,0,0,NA
"456",521,"Kallithea",2022-02-07,165000,2012,82,1988,"4th",2,1,1,2022-04-06,"Renovated","Pending",1,1,0,1,0,0,0,0,NA
"457",522,"Kallithea",2022-03-10,52000,578,90,1972,"1st",2,1,0,NA,"Other","G",0,0,0,0,0,0,0,0,NA
"458",523,"Kallithea",2022-06-01,140000,2840,49,1963,"1st",2,1,1,2022-06-10,"Good","G",0,0,1,1,0,0,0,0,NA
"459",525,"Kallithea",2021-11-02,70000,2258,31,1978,"Ground",1,1,1,2022-03-23,"Renovated","F",1,0,1,1,0,0,0,1,NA
"460",528,"Kallithea",2018-04-25,85000,1848,46,1970,"Ground",1,1,1,2022-04-29,NA,NA,0,0,1,1,0,0,1,1,NA
"461",529,"Kallithea",2022-02-26,450000,3309,136,2020,"5th",3,1,1,2022-03-17,"Newly built","B+",1,0,0,1,0,1,0,0,NA
"462",530,"Kallithea",2022-05-25,175000,2011,87,2008,"1st",2,1,1,2022-06-02,"Renovated","D",0,0,0,1,0,0,0,0,NA
"463",531,"Kallithea",2021-06-02,290000,2843,102,1995,"3rd",2,1,0,NA,"Other","Pending",1,1,0,0,0,0,0,0,NA
"464",532,"Kallithea",2021-09-11,304000,2841,107,1978,"2nd",3,1,1,2022-06-02,NA,NA,1,1,1,1,0,0,0,0,NA
"465",536,"Kallithea",2022-06-02,130000,1566,83,1975,"2nd",2,1,1,2022-06-10,"Renovated","G",0,0,0,0,0,0,0,0,NA
"466",537,"Kallithea",2022-04-07,4e+05,3419,117,NA,"5th",3,2,1,2022-04-27,"Under construction","B+",1,1,0,1,1,1,0,0,NA
"467",538,"Kallithea",2021-11-24,270000,3000,90,2021,"2nd",2,1,1,2022-04-02,"Newly built","A",1,1,1,1,1,0,0,0,NA
"468",540,"Kallithea",2022-03-22,280000,2828,99,2007,"3rd",2,1,1,2022-05-26,"Excellent","C",1,0,0,1,1,0,0,0,NA
"469",541,"Kallithea",2022-04-16,420000,3111,135,2020,"3rd",3,1,1,2022-05-04,"Newly built","B+",1,0,0,1,0,1,0,0,NA
"470",542,"Kallithea",2019-11-13,250000,2632,95,1980,"4th",2,1,1,2022-05-12,NA,NA,1,0,0,1,0,0,0,0,NA
"471",543,"Kallithea",2022-06-03,2e+05,3077,65,2021,"1st",2,1,0,NA,"Newly built","A",0,1,0,0,0,0,0,0,"Ανοιχτό parking"
"472",544,"Kallithea",2022-01-14,60000,2400,25,2004,"2nd",1,1,1,2022-05-02,"Newly built","C",1,1,1,1,0,0,0,1,NA
"473",545,"Kallithea",2022-04-05,167000,1876,89,1976,"1st",2,1,1,2022-06-10,"Good","F",1,0,0,1,1,0,0,0,NA
"474",546,"Kallithea",2022-05-19,38000,1188,32,1965,"1st",1,1,1,2022-05-20,"Needs renovation","E",0,0,1,1,0,0,0,1,NA
"475",547,"Kallithea",2022-02-28,149000,3239,46,2005,"4th",1,1,1,2022-03-23,"Other","D",1,0,0,1,0,0,0,0,NA
"476",548,"Kallithea",2022-01-25,170000,1789,95,1980,"Other",2,1,1,2022-03-23,"Renovated","D",1,0,0,1,1,0,0,0,NA
"477",549,"Kallithea",2022-05-16,265000,2454,108,1974,"4th",3,1,1,2022-05-17,"Good","A",0,0,0,0,0,0,0,0,NA
"478",550,"Kallithea",2022-04-10,59000,1341,44,1978,"Other",1,1,1,2022-04-20,"Renovated","E",1,0,0,1,0,0,0,0,NA
"479",552,"Kallithea",2021-07-13,26500,855,31,1970,"Basement",1,1,1,2022-03-31,"Other","G",0,0,1,0,0,0,1,0,NA
"480",553,"Kallithea",2022-05-05,4e+05,3636,110,2021,"6th",3,2,1,2022-05-07,"Under construction","Pending",0,1,0,1,0,1,0,0,NA
"481",554,"Kallithea",2022-04-10,156000,3000,52,1970,"4th",1,1,1,2022-04-11,"Good","Pending",1,0,0,0,1,0,0,0,NA
"482",555,"Kallithea",2022-05-16,160000,1839,87,1962,"2nd",2,NA,1,2022-06-10,"Good","Pending",0,0,0,0,0,0,0,0,NA
"483",556,"Kallithea",2021-07-13,270000,1985,136,1974,"2nd",3,NA,1,2022-06-10,"Excellent","E",1,1,0,0,0,0,0,0,NA
"484",557,"Kallithea",2021-07-02,145000,1959,74,1980,"4th",2,1,0,NA,"Renovated","E",0,1,0,1,1,0,0,0,NA
"485",558,"Kallithea",2022-04-16,385000,3407,113,2021,"5th",3,1,1,2022-05-08,"Under construction","A",1,0,0,1,1,0,0,0,"Κλειστό parking"
"486",560,"Kallithea",2022-02-14,70000,1400,50,1972,"1st",1,1,1,2022-06-07,"Good","F",0,0,1,0,0,0,0,1,NA
"487",561,"Kallithea",2022-04-06,48000,923,52,1963,"Semibasement",1,1,0,NA,"Renovated","D",0,0,0,0,0,0,0,1,NA
"488",564,"Kallithea",2022-03-27,150000,1429,105,1978,"5th",2,1,1,2022-04-05,"Excellent","F",1,0,0,0,0,0,0,0,NA
"489",565,"Kallithea",2022-04-26,550000,4472,123,2022,"7th",3,2,0,NA,"Newly built","A",0,0,0,1,0,1,0,0,"Κλειστό parking"
"490",566,"Kallithea",2022-03-22,95000,1900,50,1978,"Elev. Ground",1,1,1,2022-03-25,"Renovated","G",0,0,0,0,0,0,0,0,NA
"491",567,"Kallithea",2022-04-28,290000,3222,90,1992,"2nd",2,1,1,2022-04-29,"Renovated","B",0,1,1,1,0,0,1,1,NA
"492",569,"Kallithea",2022-06-01,420000,3925,107,NA,"4th",3,2,1,2022-06-10,"Under construction","A",0,1,0,1,0,1,0,0,"Υπόγειο parking"
"493",570,"Kallithea",2022-04-08,480000,3967,121,NA,"7th",3,1,1,2022-06-02,"Excellent","A+",1,1,1,1,1,1,0,0,NA
"494",571,"Kallithea",2022-02-26,260000,3250,80,2022,"1st",2,1,1,2022-03-17,"Under construction","A",1,0,0,1,0,1,0,0,NA
"495",572,"Kallithea",2022-05-29,550000,4167,132,2020,"6th",3,1,1,2022-06-10,"Newly built","A",1,0,0,1,0,1,0,0,NA
"496",573,"Kallithea",2022-03-14,360000,2975,121,2021,"3rd",3,1,1,2022-03-21,"Under construction","A",1,0,0,1,0,1,0,0,NA
"497",574,"Kallithea",2021-10-26,330000,2973,111,2021,"1st",3,1,1,2022-06-10,"Under construction","A+",1,1,1,1,1,0,1,0,"Parking πιλωτής"
